epoch;map;map_05;train loss;train cls loss;train box reg loss;train obj loss;train rpn loss
1;0.559854234415873;,0.8786718034642171;0.018989941105246544;0.121616565;0.07135164;0.016893368;0.0027717752
2;0.69141844108575;0.9596976714644913;0.023582642897963524;0.017712304;0.033185765;0.0018964891;0.0015347633
3;0.7173268097897164;0.9587953899417929;0.016757318750023842;0.01331683;0.027316917;0.0009990407;0.001228181
4;0.7445840275102577;0.9645735791510144;0.011031078174710274;0.011692297;0.024606131;0.0006566184;0.001078089
5;0.7447352705276806;0.956050170278741;0.07534653693437576;0.010516733;0.022454983;0.00048577544;0.00096620247
