                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.57098,                0.39059,                 1.0358,                0.92724,                0.93986,                0.94928,                0.81077,                0.48821,                0.32372,                 1.0249,               0.006535,               0.006535,               0.006535
                     38,                0.56989,                0.38981,                 1.0378,                0.92234,                0.94948,                0.95822,                0.81942,                0.49018,                0.30939,                 1.0265,               0.006436,               0.006436,               0.006436
                     39,                0.56321,                0.39056,                 1.0376,                0.93948,                 0.9403,                 0.9655,                0.81563,                0.50156,                0.31181,                 1.0362,               0.006337,               0.006337,               0.006337
                     40,                0.56712,                0.38281,                 1.0382,                0.92634,                0.95407,                0.95931,                0.80813,                0.49456,                0.31599,                 1.0302,               0.006238,               0.006238,               0.006238
                     41,                0.56251,                 0.3814,                 1.0323,                0.92737,                0.94383,                0.95851,                0.81658,                0.47924,                0.30947,                  1.023,               0.006139,               0.006139,               0.006139
                     42,                0.56543,                0.38561,                 1.0342,                0.93405,                0.93883,                0.95764,                0.81307,                0.48179,                0.31261,                  1.025,                0.00604,                0.00604,                0.00604
                     43,                0.55728,                0.37556,                  1.024,                0.92428,                0.94997,                0.95793,                0.82035,                0.46977,                0.31055,                 1.0197,               0.005941,               0.005941,               0.005941
                     44,                0.55322,                0.37916,                 1.0308,                0.93824,                 0.9408,                0.95928,                0.81824,                0.47846,                0.30449,                 1.0217,               0.005842,               0.005842,               0.005842
                     45,                0.55383,                0.37577,                 1.0257,                0.92895,                0.95541,                0.96355,                0.81731,                0.47318,                0.30229,                 1.0176,               0.005743,               0.005743,               0.005743
                     46,                0.55325,                 0.3732,                 1.0267,                0.91788,                0.95049,                0.95266,                0.81519,                0.46839,                0.29938,                 1.0132,               0.005644,               0.005644,               0.005644
                     47,                0.54638,                0.36515,                 1.0251,                0.93798,                0.95734,                0.96102,                0.82314,                0.46521,                0.30218,                 1.0142,               0.005545,               0.005545,               0.005545
                     48,                0.54589,                0.36348,                 1.0236,                0.93437,                0.95694,                0.96259,                0.82426,                0.47357,                0.29862,                 1.0174,               0.005446,               0.005446,               0.005446
                     49,                0.54483,                0.36715,                 1.0242,                0.93469,                0.96492,                0.96597,                0.83953,                0.45987,                0.29234,                 1.0101,               0.005347,               0.005347,               0.005347
                     50,                0.53727,                0.36648,                 1.0162,                0.92813,                 0.9487,                0.96079,                0.82727,                0.46562,                0.30328,                 1.0133,               0.005248,               0.005248,               0.005248
